,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A2M,110.64731390543204,-2.3006075397315544,0.2911724157784611,-7.901186427913469,2.7626109161333793e-15,1.5626331927438079e-12
A4GALT,406.18642616112186,-0.5119907646398745,0.20230284763804435,-2.5308134344995317,0.011379835999197018,0.1324702330907462
AAAS,351.17468239307254,0.27910036054514603,0.14080403497656585,1.9821900742517566,0.04745797117067637,0.31656727660376915
AACS,134.88145604276698,0.4108805763358412,0.23555697412249835,1.744293828983251,0.08110786716131727,0.41357755273431684
AADAT,42.313151249289376,0.2586652077988841,0.29523549517176606,0.8761318067409013,0.3809583833100745,0.7899760243143755
AAGAB,509.79895896488733,0.1738716936752413,0.20763735442284845,0.8373815692197455,0.402378122305154,0.8020492317740407
AAK1,40.10321970586636,-0.015673736205914484,0.29512519657734726,-0.053108770066694955,0.9576452438134672,0.9906016138000654
AAMP,677.5390698664617,-0.14198258070982328,0.1597271570808978,-0.8889069542376732,0.3740530877017896,0.7861225527806851
AARS,2024.5496032667254,-0.16678607742059967,0.1863351265630738,-0.8950866135491804,0.37074078928770515,0.7847955837572964
AARS2,61.73969268736159,0.5531692156959673,0.3107080159285025,1.7803506422031223,0.07501859405926678,0.39890693313701514
AASDH,22.795975587297487,-0.8231815266187775,0.3873008982240335,-2.1254314936873957,0.033550624716210786,0.26077699810651284
AASDHPPT,273.31687176968734,-0.1800286248920139,0.3164331602453057,-0.568930970295439,0.569402986837025,0.8859006071301043
AASS,30.74956684070594,-0.6528673145813616,0.3792766472205966,-1.7213485706691503,0.0851875907093664,0.42454500706830123
AATF,671.5327483394512,0.3472718733337038,0.1858206534764539,1.8688550860020952,0.06164297848458421,0.3617296851932748
ABAT,211.99862636402656,-0.3567792907084162,0.3127920700630606,-1.140627672039408,0.2540248967265628,0.6896809215229053
ABCA1,98.77489150790228,-1.9930986508796853,0.2775919005489898,-7.179959670789963,6.973198547490756e-13,1.8864017983690214e-10
ABCA2,499.21970409961386,-0.07806804597370283,0.2172845449221104,-0.35928945614465,0.7193785612510836,0.9332521814491667
ABCA3,31.465602843447883,0.1563594413889388,0.4261355085299804,0.3669242254144101,0.7136755406295769,0.9317782378271814
ABCA5,43.36095840641306,-0.41475658926385783,0.37130802421760667,-1.1170148830955184,0.2639879616669242,0.6989502542517456
ABCA6,42.23649460702878,-2.3711721664988397,0.32889544552859745,-7.209501374176573,5.615713109332913e-13,1.5529318651675284e-10
ABCA8,93.84454419774268,-2.0112924530354785,0.30953505165320405,-6.4977857670506545,8.15107631499876e-11,1.746501323275687e-08
ABCA9,80.10910206067776,-2.284540749465608,0.3398674271113921,-6.721858487241398,1.7942116728050007e-11,4.134661121552857e-09
ABCB10,212.04897929353234,0.112540738912221,0.2481368386297963,0.45354305121991306,0.650157750441317,0.9152220640827771
ABCB6,163.1260380686178,-0.04532965486962767,0.20616273447666994,-0.2198731743866995,0.8259699288223505,0.9638408344093583
ABCB7,110.78258447348523,-0.06594070561907064,0.21898925932242633,-0.3011138803021549,0.7633276569914027,0.9437505577348252
ABCB8,52.57531118343502,-0.15322859417437604,0.3289731230681498,-0.46577845857223216,0.6413740857342665,0.911162288815988
ABCC1,386.76911652736067,-0.573992464256129,0.16819634795605137,-3.4126333373546824,0.0006433844371211241,0.015980590689691154
ABCC10,195.04880792838702,0.01018199698175773,0.23555843228046985,0.04322493099985672,0.9655222315940065,0.9931936650760689
ABCC3,10.674170431007237,-0.9359310989890423,0.5499370856732755,-1.7018875856375517,0.08877644340461187,0.43433892104449906
ABCC4,103.76406939482086,0.292648416666332,0.2506273360260114,1.167663596902931,0.24294248615049174,0.6788064294902829
ABCC5,90.88183709631423,0.32316508328899646,0.339685664712025,0.9513650909082837,0.34141907498214263,0.7651958264748252
ABCC9,8.262954155459676,0.614454718692771,0.5350293495019307,1.1484504901736305,0.2507826405168042,0.6875389245629239
ABCD1,505.28801845391024,0.34528993456929996,0.3196650835873091,1.0801615575102121,0.28007024376404543,0.7139896505938382
ABCD3,333.61394762213297,-0.057675040719288716,0.2084832141952072,-0.276641172009591,0.7820556472897924,0.9498137515608871
ABCD4,94.65701800960866,-0.3989994651037709,0.2257272028077827,-1.7676179926064899,0.07712478800197743,0.40512564367680737
ABCE1,1212.7267894944807,0.454495679979575,0.149436439173203,3.041397951491575,0.0023548237313488303,0.043933173182765885
ABCF1,797.6607981617773,0.14100404577336512,0.15356752648526956,0.9181892096626982,0.3585198167759318,0.7765000436992686
ABCF2,963.7931156535908,0.07055730820789863,0.13738887299477062,0.5135591163236649,0.6075602695975137,0.897787506716452
